numerical_id	unique_id	treatment_id	File accession_Accessibility	File format	File type	Output type	File assembly	Experiment accession_Accessibility	Assay_Accessibility	Donor(s)_Accessibility	Biosample term id_Accessibility	Biosample term name	Biosample type_Accessibility	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Library made from_Accessibility	Experiment date released_Accessibility	Project_Accessibility	Biological replicate(s)_Accessibility	Technical replicate(s)_Accessibility	Mapped read length_Accessibility	Run type_Accessibility	Derived from_Accessibility	Size_Accessibility	Lab	md5sum_Accessibility	File download URL_Accessibility	File Status_Accessibility	s3_uri_Accessibility	File analysis title_Accessibility	File analysis status_Accessibility	Audit WARNING_Accessibility	Biosample summary_Accessibility	Biosample stage_Accessibility	Biosample age_Accessibility	File accession_H3K27ac	Experiment accession_H3K27ac	Assay_H3K27ac	Donor(s)_H3K27ac	Biosample term id_H3K27ac	Biosample type_H3K27ac	Experiment target_H3K27ac	Library made from_H3K27ac	Library crosslinking method_H3K27ac	Experiment date released_H3K27ac	Project_H3K27ac	Library fragmentation method_H3K27ac	Library size range_H3K27ac	Biological replicate(s)_H3K27ac	Technical replicate(s)_H3K27ac	Mapped read length_H3K27ac	Run type_H3K27ac	Derived from_H3K27ac	Size_H3K27ac	md5sum_H3K27ac	File download URL_H3K27ac	File Status_H3K27ac	s3_uri_H3K27ac	File analysis title_H3K27ac	File analysis status_H3K27ac	Audit WARNING_H3K27ac	Audit NOT_COMPLIANT_H3K27ac	Biosample summary_H3K27ac	Biosample stage_H3K27ac	Biosample age_H3K27ac	File accession_H3K27ac bam
ID_0	A549_58_years_2_1_A549_58_years_1_1	<NA>_<NA>_<NA>	ENCFF215ZJQ,ENCFF037NDD,ENCFF548VIM,ENCFF633PXA	bam	bam	unfiltered alignments	GRCh38	ENCSR136DNA	DNase-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens				DNA	2016-05-05	GGR	2	2_1	36	single-ended	/files/ENCFF884HOA/, /files/ENCFF332VRZ/	1156040158	ENCODE Processing Pipeline	18dc51f88633677d1c44519d347242cf	https://www.encodeproject.org/files/ENCFF215ZJQ/@@download/ENCFF215ZJQ.bam	released	s3://encode-public/2020/11/12/104ba512-31a3-45b2-987f-d3d53efe771c/ENCFF215ZJQ.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		A549	adult	58 years	ENCFF740RUT,ENCFF904HDB,ENCFF735JED	ENCSR778NQS	Histone ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	cell line	H3K27ac-human	DNA	formaldehyde	2017-10-19	GGR	sonication (Bioruptor Twin)	>200	1	1_1	51	single-ended	/files/ENCFF561LMW/, /files/ENCFF110MCL/	3944544703	216ae6dffb4e9faab37c47c8368133f0	https://www.encodeproject.org/files/ENCFF740RUT/@@download/ENCFF740RUT.bam	released	s3://encode-public/2020/10/01/0c09c3f1-1c21-4117-8416-62b82f1d6147/ENCFF740RUT.bam	ENCODE4 v1.5.1 GRCh38	released			A549	adult	58 years	ENCFF740RUT,ENCFF904HDB,ENCFF735JED
ID_1	A549_58_years_2_1_A549_58_years_2_1	<NA>_<NA>_<NA>	ENCFF215ZJQ,ENCFF037NDD,ENCFF548VIM,ENCFF633PXA	bam	bam	unfiltered alignments	GRCh38	ENCSR136DNA	DNase-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens				DNA	2016-05-05	GGR	2	2_1	36	single-ended	/files/ENCFF884HOA/, /files/ENCFF332VRZ/	1156040158	ENCODE Processing Pipeline	18dc51f88633677d1c44519d347242cf	https://www.encodeproject.org/files/ENCFF215ZJQ/@@download/ENCFF215ZJQ.bam	released	s3://encode-public/2020/11/12/104ba512-31a3-45b2-987f-d3d53efe771c/ENCFF215ZJQ.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		A549	adult	58 years	ENCFF348ILR,ENCFF786JZT,ENCFF056KDJ	ENCSR783SNV	Histone ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	cell line	H3K27ac-human	DNA	formaldehyde	2016-07-21	GGR	sonication (Bioruptor Twin)	>200	2	2_1	51	single-ended	/files/ENCFF110MCL/, /files/ENCFF187VER/	1151372840	49c0cdeda40e1e72bab8b52035419556	https://www.encodeproject.org/files/ENCFF348ILR/@@download/ENCFF348ILR.bam	released	s3://encode-public/2020/10/01/b05a6182-06ad-4630-8ddf-8287369e0486/ENCFF348ILR.bam	ENCODE4 v1.5.1 GRCh38	released			A549	adult	58 years	ENCFF348ILR,ENCFF786JZT,ENCFF056KDJ
ID_2	adrenal_gland_tissue_female_adult_(47_years)_47_years_1_1_adrenal_gland_tissue_female_adult_(30_years)_30_years_1_1	<NA>_<NA>_<NA>	ENCFF739QZS	bam	bam	unfiltered alignments	GRCh38	ENCSR541JMK	DNase-seq	/human-donors/ENCDO528BHB/	UBERON:0002369	adrenal gland	tissue	Homo sapiens				DNA	2020-09-19	ENCODE	1	1_1	76	single-ended	/files/ENCFF813STM/, /files/ENCFF031XLZ/, /files/ENCFF830BVJ/, /files/ENCFF652ZEG/, /files/ENCFF884HOA/	17136267400	ENCODE Processing Pipeline	8af40560e075b0083bd255cacf46b9f9	https://www.encodeproject.org/files/ENCFF739QZS/@@download/ENCFF739QZS.bam	released	s3://encode-public/2020/09/16/a0958b91-19ec-4432-bdf7-262a81e79dcd/ENCFF739QZS.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		adrenal_gland_tissue_female_adult_(47_years)	adult	47 years	ENCFF366CJE	ENCSR642HHF	Histone ChIP-seq	/human-donors/ENCDO424HVB/	UBERON:0002369	tissue	H3K27ac-human	DNA		2013-07-31	Roadmap			1	1_1	36	single-ended	/files/ENCFF471EQE/, /files/ENCFF110MCL/	1819953816	b20398abfa568fb6d682dfb51cba3c8a	https://www.encodeproject.org/files/ENCFF366CJE/@@download/ENCFF366CJE.bam	released	s3://encode-public/2020/10/10/30651609-7a4d-422f-ba86-831ab976fe98/ENCFF366CJE.bam	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking	insufficient read depth, poor library complexity	adrenal_gland_tissue_female_adult_(30_years)	adult	30 years	ENCFF366CJE
ID_3	adrenal_gland_tissue_female_adult_(47_years)_47_years_1_1_adrenal_gland_tissue_male_embryo_(97_days)_97_days_1_2	<NA>_<NA>_<NA>	ENCFF739QZS	bam	bam	unfiltered alignments	GRCh38	ENCSR541JMK	DNase-seq	/human-donors/ENCDO528BHB/	UBERON:0002369	adrenal gland	tissue	Homo sapiens				DNA	2020-09-19	ENCODE	1	1_1	76	single-ended	/files/ENCFF813STM/, /files/ENCFF031XLZ/, /files/ENCFF830BVJ/, /files/ENCFF652ZEG/, /files/ENCFF884HOA/	17136267400	ENCODE Processing Pipeline	8af40560e075b0083bd255cacf46b9f9	https://www.encodeproject.org/files/ENCFF739QZS/@@download/ENCFF739QZS.bam	released	s3://encode-public/2020/09/16/a0958b91-19ec-4432-bdf7-262a81e79dcd/ENCFF739QZS.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		adrenal_gland_tissue_female_adult_(47_years)	adult	47 years	ENCFF226RYX	ENCSR847AIA	Histone ChIP-seq	/human-donors/ENCDO826VAK/	UBERON:0002369	tissue	H3K27ac-human	DNA		2013-07-31	Roadmap			1	1_2	36	single-ended	/files/ENCFF429NJG/, /files/ENCFF110MCL/, /files/ENCFF317HYD/	1057911092	b702dded02176fc8bff5ddc4316dad96	https://www.encodeproject.org/files/ENCFF226RYX/@@download/ENCFF226RYX.bam	released	s3://encode-public/2020/10/10/166dda70-31ae-40ed-9608-c8e9d0c4e3ec/ENCFF226RYX.bam	ENCODE4 v1.5.1 GRCh38	released	low read depth, low read length		adrenal_gland_tissue_male_embryo_(97_days)	embryonic	97 days	ENCFF226RYX
ID_4	A549_treated_with_100_nM_dexamethasone_for_1_hour_58_years_3_1_A549_treated_with_100_nM_dexamethasone_for_1_hour_58_years_1_1	dexamethasone_100 nM_1 hour	ENCFF658VKV,ENCFF838CUA,ENCFF369CLX,ENCFF455QZC,ENCFF008YUA	bam	bam	unfiltered alignments	GRCh38	ENCSR384KCZ	DNase-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour	DNA	2016-05-05	GGR	3	3_1	20	single-ended	/files/ENCFF884HOA/, /files/ENCFF095DFB/	2220133182	ENCODE Processing Pipeline	af57424790ae32b56ca4e1b524ded6d5	https://www.encodeproject.org/files/ENCFF658VKV/@@download/ENCFF658VKV.bam	released	s3://encode-public/2020/11/16/98bd1988-5e98-4e3f-a3f6-6bbe3d1aaaf2/ENCFF658VKV.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		A549_treated_with_100_nM_dexamethasone_for_1_hour	adult	58 years	ENCFF498XMT	ENCSR000AVF	Histone ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	cell line	H3K27ac-human	DNA		2012-08-06	ENCODE	see document		1	1_1	36	single-ended	/files/ENCFF110MCL/, /files/ENCFF000AKL/	1852732374	170fda1b7ea464d831e12151d0c1f529	https://www.encodeproject.org/files/ENCFF498XMT/@@download/ENCFF498XMT.bam	released	s3://encode-public/2020/09/30/824e8c88-7808-4814-b98e-f1f54abf9434/ENCFF498XMT.bam	ENCODE4 v1.5.1 GRCh38	released	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking		A549_treated_with_100_nM_dexamethasone_for_1_hour	adult	58 years	ENCFF498XMT
ID_5	A549_treated_with_100_nM_dexamethasone_for_1_hour_58_years_3_1_A549_treated_with_100_nM_dexamethasone_for_1_hour_58_years_2_1	dexamethasone_100 nM_1 hour	ENCFF658VKV,ENCFF838CUA,ENCFF369CLX,ENCFF455QZC,ENCFF008YUA	bam	bam	unfiltered alignments	GRCh38	ENCSR384KCZ	DNase-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour	DNA	2016-05-05	GGR	3	3_1	20	single-ended	/files/ENCFF884HOA/, /files/ENCFF095DFB/	2220133182	ENCODE Processing Pipeline	af57424790ae32b56ca4e1b524ded6d5	https://www.encodeproject.org/files/ENCFF658VKV/@@download/ENCFF658VKV.bam	released	s3://encode-public/2020/11/16/98bd1988-5e98-4e3f-a3f6-6bbe3d1aaaf2/ENCFF658VKV.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		A549_treated_with_100_nM_dexamethasone_for_1_hour	adult	58 years	ENCFF569EEN,ENCFF953GID,ENCFF887OAP	ENCSR242TBH	Histone ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	cell line	H3K27ac-human	DNA	formaldehyde	2016-07-21	GGR	sonication (Bioruptor Twin)	>200	2	2_1	51	single-ended	/files/ENCFF110MCL/, /files/ENCFF262JTH/	1326400453	317954336eb9edb41855a7f7e15ed999	https://www.encodeproject.org/files/ENCFF569EEN/@@download/ENCFF569EEN.bam	released	s3://encode-public/2020/10/02/0cf6e0ce-24c7-4c02-ba6c-9df720adad78/ENCFF569EEN.bam	ENCODE4 v1.5.1 GRCh38	released			A549_treated_with_100_nM_dexamethasone_for_1_hour	adult	58 years	ENCFF569EEN,ENCFF953GID,ENCFF887OAP
ID_6	heart_left_ventricle_tissue_male_adult_(54_years)_54_years_1_1_heart_left_ventricle_tissue_female_adult_(53_years)_53_years_1_1	<NA>_<NA>_<NA>	ENCFF721LON	bam	bam	unfiltered alignments	GRCh38	ENCSR735NTV	DNase-seq	/human-donors/ENCDO039RUH/	UBERON:0002084	heart left ventricle	tissue	Homo sapiens				DNA	2020-09-28	ENCODE	1	1_1	76	single-ended	/files/ENCFF306ZAP/, /files/ENCFF841LVC/, /files/ENCFF861FKL/, /files/ENCFF796APD/, /files/ENCFF936LAA/, /files/ENCFF642HXB/, /files/ENCFF884HOA/	16887376895	ENCODE Processing Pipeline	2cdd9d9371baa6587761cdce5172b0f5	https://www.encodeproject.org/files/ENCFF721LON/@@download/ENCFF721LON.bam	released	s3://encode-public/2020/09/25/11575c7a-3aae-4d98-903d-5a51e8858433/ENCFF721LON.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released	low spot score	heart_left_ventricle_tissue_male_adult_(54_years)	adult	54 years	ENCFF977RSS	ENCSR854OXF	Histone ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0002084	tissue	H3K27ac-human	DNA		2016-11-03	ENCODE	sonication (generic)	200-600	1	1_1	76	single-ended	/files/ENCFF978HHN/, /files/ENCFF110MCL/, /files/ENCFF762NSE/	1802008074	e955481acd3c2f8decd13bd1f51ebcb3	https://www.encodeproject.org/files/ENCFF977RSS/@@download/ENCFF977RSS.bam	released	s3://encode-public/2020/09/17/0b23f4fb-5c34-401e-a8fc-9a0aaa40ad1b/ENCFF977RSS.bam	ENCODE4 v1.5.1 GRCh38	released			heart_left_ventricle_tissue_female_adult_(53_years)	adult	53 years	ENCFF977RSS
ID_7	heart_left_ventricle_tissue_female_embryo_(136_days)_136_days_2_1_heart_left_ventricle_tissue_female_adult_(53_years)_53_years_1_1	<NA>_<NA>_<NA>	ENCFF967KZG	bam	bam	unfiltered alignments	GRCh38	ENCSR501FWC	DNase-seq	/human-donors/ENCDO294LOE/	UBERON:0002084	heart left ventricle	tissue	Homo sapiens				DNA	2016-05-09	ENCODE	2	2_1	36	single-ended	/files/ENCFF670XUB/, /files/ENCFF622JSG/, /files/ENCFF261DWN/, /files/ENCFF849DKX/, /files/ENCFF382BXT/, /files/ENCFF796XFP/, /files/ENCFF328PJC/, /files/ENCFF116DGX/, /files/ENCFF884HOA/	11949660185	ENCODE Processing Pipeline	23a011ef6d16967cd5037dd01c69efca	https://www.encodeproject.org/files/ENCFF967KZG/@@download/ENCFF967KZG.bam	released	s3://encode-public/2020/10/23/76ee9594-c1b1-4aec-8b46-53f5c241fb6d/ENCFF967KZG.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released	low spot score	heart_left_ventricle_tissue_female_embryo_(136_days)	embryonic	136 days	ENCFF977RSS	ENCSR854OXF	Histone ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0002084	tissue	H3K27ac-human	DNA		2016-11-03	ENCODE	sonication (generic)	200-600	1	1_1	76	single-ended	/files/ENCFF978HHN/, /files/ENCFF110MCL/, /files/ENCFF762NSE/	1802008074	e955481acd3c2f8decd13bd1f51ebcb3	https://www.encodeproject.org/files/ENCFF977RSS/@@download/ENCFF977RSS.bam	released	s3://encode-public/2020/09/17/0b23f4fb-5c34-401e-a8fc-9a0aaa40ad1b/ENCFF977RSS.bam	ENCODE4 v1.5.1 GRCh38	released			heart_left_ventricle_tissue_female_adult_(53_years)	adult	53 years	ENCFF977RSS
ID_8	heart_right_ventricle_tissue_male_adult_(43_years)_43_years_1_1_heart_right_ventricle_tissue_male_child_(3_years)_3_years_1_1	<NA>_<NA>_<NA>	ENCFF505BWK	bam	bam	unfiltered alignments	GRCh38	ENCSR298OIK	DNase-seq	/human-donors/ENCDO967KID/	UBERON:0002080	heart right ventricle	tissue	Homo sapiens				DNA	2020-09-28	ENCODE	1	1_1	76	single-ended	/files/ENCFF758SIA/, /files/ENCFF496RXW/, /files/ENCFF494ILI/, /files/ENCFF469BTC/, /files/ENCFF884HOA/	12641055510	ENCODE Processing Pipeline	a44e549696d52f56d18579fbaf421423	https://www.encodeproject.org/files/ENCFF505BWK/@@download/ENCFF505BWK.bam	released	s3://encode-public/2020/09/27/1d515179-0f2a-4e94-9fe9-7df3d5731a1b/ENCFF505BWK.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		heart_right_ventricle_tissue_male_adult_(43_years)	adult	43 years	ENCFF038HDN	ENCSR028NXO	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002080	tissue	H3K27ac-human	DNA		2013-07-31	Roadmap			1	1_1	36	single-ended	/files/ENCFF141ZLN/, /files/ENCFF110MCL/	1028585189	872ec4920143ef2b9715d04a64b967d6	https://www.encodeproject.org/files/ENCFF038HDN/@@download/ENCFF038HDN.bam	released	s3://encode-public/2020/10/10/9e0603e3-d844-42c1-8fc5-065d40acee25/ENCFF038HDN.bam	ENCODE4 v1.5.1 GRCh38	released	low read depth, inconsistent platforms, mild to moderate bottlenecking	poor library complexity	heart_right_ventricle_tissue_male_child_(3_years)	child	3 years	ENCFF038HDN
ID_9	pancreas_tissue_female_adult_(59_years)_59_years_1_1_pancreas_tissue_male_adult_(34_years)_34_years_1_1	<NA>_<NA>_<NA>	ENCFF254VRC	bam	bam	unfiltered alignments	GRCh38	ENCSR999VDH	DNase-seq	/human-donors/ENCDO856ZOJ/	UBERON:0001264	pancreas	tissue	Homo sapiens				DNA	2020-09-28	ENCODE	1	1_1	76	single-ended	/files/ENCFF508VOI/, /files/ENCFF884HOA/, /files/ENCFF112LOI/, /files/ENCFF552NND/, /files/ENCFF477REW/, /files/ENCFF306BCB/, /files/ENCFF559XAX/	12714233547	ENCODE Processing Pipeline	b8d4cfd36636820af96f8f08968a2d03	https://www.encodeproject.org/files/ENCFF254VRC/@@download/ENCFF254VRC.bam	released	s3://encode-public/2020/09/27/0443e611-1e5a-41f5-9e94-9d4f00c1c11e/ENCFF254VRC.bam	ENCODE4 v3.0.0-alpha.2 GRCh38	released		pancreas_tissue_female_adult_(59_years)	adult	59 years	ENCFF553NLN	ENCSR612BWE	Histone ChIP-seq	/human-donors/ENCDO058AAA/	UBERON:0001264	tissue	H3K27ac-human	DNA		2013-07-31	Roadmap			1	1_1	36	single-ended	/files/ENCFF110MCL/, /files/ENCFF546HNU/	898147496	8b4a1bbb78e112113a89822ba2abd750	https://www.encodeproject.org/files/ENCFF553NLN/@@download/ENCFF553NLN.bam	released	s3://encode-public/2020/10/19/8e3f6762-7e00-4114-a0ab-2ab380101035/ENCFF553NLN.bam	ENCODE4 v1.5.1 GRCh38	released	low read depth, moderate library complexity, low read length, inconsistent platforms, mild to moderate bottlenecking		pancreas_tissue_male_adult_(34_years)	adult	34 years	ENCFF553NLN
